YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,EW15,2289,2245
2020-04,WEEKDAY,14,TRAIN,EW15,8171,6980
2020-04,WEEKENDS/HOLIDAY,23,TRAIN,DT14,408,108
2020-04,WEEKDAY,23,TRAIN,EW12,1483,1210
2020-04,WEEKENDS/HOLIDAY,23,TRAIN,EW12,665,454
2020-04,WEEKDAY,23,TRAIN,DT14,901,293
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,NS4,3914,3319
2020-04,WEEKDAY,10,TRAIN,NS4,9739,8236
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,BP1,426,438
2020-04,WEEKDAY,10,TRAIN,BP1,1306,1126
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,NS5,1432,3091
2020-04,WEEKDAY,22,TRAIN,NS5,3380,7632
2020-04,WEEKDAY,22,TRAIN,SE3,127,883
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,SE3,65,325
2020-04,WEEKDAY,7,TRAIN,NS15,16489,23754
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,NS15,2540,2866
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,EW30,575,187
2020-04,WEEKDAY,12,TRAIN,EW30,736,550
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,NE11,555,508
2020-04,WEEKDAY,12,TRAIN,NE11,1310,1082
2020-04,WEEKDAY,8,TRAIN,PE5,3398,1334
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,PE5,702,422
